2023-05-06 17:08:48.898 [info] /home/naman/.config/Code/User/profiles/7ea727a4/settings.json closed
2023-05-06 17:08:48.898 [info] /home/naman/.config/Code/User/profiles/7ea727a4/settings.json closed
2023-05-06 17:08:48.898 [info] Configuration changed
2023-05-06 17:08:48.899 [info] Configuration changed
2023-05-06 17:08:49.358 [info] Configuration changed
2023-05-06 17:08:49.928 [info] Configuration changed
2023-05-06 17:08:51.709 [info] /home/naman/.config/Code/User/settings.json closed
2023-05-06 17:08:51.873 [info] /home/naman/.config/Code/User/keybindings.json closed
2023-05-06 17:08:52.911 [info] /home/naman/.config/Code/User/profiles/7ea727a4/settings.json closed
2023-05-06 17:08:52.947 [info] /home/naman/.config/Code/User/profiles/7ea727a4/keybindings.json closed
2023-05-06 17:09:08.579 [info] Configuration changed
2023-05-06 17:09:30.452 [info] Active editor: untitled:Untitled-1
2023-05-06 17:09:32.411 [info] Untitled-1 closed
2023-05-06 17:09:32.569 [info] Active editor: file:///home/naman/Desktop/Project/React%20Native/cpay/package.json
2023-05-06 17:11:46.813 [info] /vscode-extensions closed
2023-05-06 17:14:47.331 [info] /vscode-extensions closed
2023-05-06 17:17:47.643 [info] /vscode-extensions closed
2023-05-06 17:20:47.772 [info] /vscode-extensions closed
2023-05-06 17:23:47.935 [info] /vscode-extensions closed
2023-05-06 17:26:48.065 [info] /vscode-extensions closed
2023-05-06 17:29:48.180 [info] /vscode-extensions closed
2023-05-06 17:32:48.252 [info] /vscode-extensions closed
2023-05-06 17:34:08.298 [info] Active editor: file:///home/naman/Desktop/Project/React%20Native/cpay/app/Components/ImageCarousel/Slides.ts
2023-05-06 17:34:40.763 [info] /home/naman/.config/Code/User/profiles/7ea727a4/settings.json closed
2023-05-06 17:34:40.872 [info] Configuration changed
2023-05-06 17:35:48.474 [info] /vscode-extensions closed
2023-05-06 17:36:06.385 [info] Active editor: file:///home/naman/Desktop/Project/React%20Native/cpay/app/Components/ImageCarousel/CarouselItem.tsx
2023-05-06 17:36:11.457 [info] /home/naman/.config/Code/User/profiles/7ea727a4/settings.json closed
2023-05-06 17:36:11.589 [warning] invalid cursor position. [[16, 29] | [16, 29]].
2023-05-06 17:36:12.777 [info] Configuration changed
2023-05-06 17:36:23.817 [warning] invalid cursor position. [[17, 29] | [17, 29]].
2023-05-06 17:36:23.971 [warning] invalid cursor position. [[18, 29] | [18, 29]].
2023-05-06 17:36:24.056 [warning] invalid cursor position. [[19, 29] | [19, 29]].
2023-05-06 17:36:24.329 [warning] invalid cursor position. [[23, 29] | [23, 29]].
2023-05-06 17:36:24.378 [warning] invalid cursor position. [[24, 29] | [24, 29]].
2023-05-06 17:36:24.428 [warning] invalid cursor position. [[25, 29] | [25, 29]].
2023-05-06 17:36:24.487 [warning] invalid cursor position. [[26, 29] | [26, 29]].
2023-05-06 17:36:24.577 [warning] invalid cursor position. [[28, 29] | [28, 29]].
2023-05-06 17:36:24.625 [warning] invalid cursor position. [[29, 29] | [29, 29]].
2023-05-06 17:37:15.956 [warning] invalid cursor position. [[34, 29] | [34, 29]].
2023-05-06 17:37:16.156 [warning] invalid cursor position. [[35, 29] | [35, 29]].
2023-05-06 17:37:16.454 [warning] invalid cursor position. [[34, 29] | [34, 29]].
2023-05-06 17:37:17.098 [warning] invalid cursor position. [[29, 29] | [29, 29]].
2023-05-06 17:37:17.134 [warning] invalid cursor position. [[28, 29] | [28, 29]].
2023-05-06 17:37:17.215 [warning] invalid cursor position. [[26, 29] | [26, 29]].
2023-05-06 17:37:17.264 [warning] invalid cursor position. [[25, 29] | [25, 29]].
2023-05-06 17:37:17.324 [warning] invalid cursor position. [[24, 29] | [24, 29]].
2023-05-06 17:37:17.366 [warning] invalid cursor position. [[23, 29] | [23, 29]].
2023-05-06 17:37:17.513 [warning] invalid cursor position. [[19, 29] | [19, 29]].
2023-05-06 17:37:17.536 [warning] invalid cursor position. [[18, 29] | [18, 29]].
2023-05-06 17:37:17.558 [warning] invalid cursor position. [[17, 29] | [17, 29]].
2023-05-06 17:37:17.588 [warning] invalid cursor position. [[16, 29] | [16, 29]].
2023-05-06 17:37:17.637 [warning] invalid cursor position. [[17, 29] | [17, 29]].
2023-05-06 17:37:18.122 [warning] invalid cursor position. [[18, 29] | [18, 29]].
